"","X","Island_Name","RasterAddress_1km","DepthBin_5m","Depth_m_mn","Longitude_mn","Latitude_mn","Longitude_ras","Latitude_ras","AreaSurveyed_m2_sum","PercentLiveCoralCover_mean","PercentLiveCoralCover_sd","PercentLiveCoralCover_N","PctCoralUnbleached_mean","PctCoralUnbleached_sd","PctCoralUnbleached_N","PctCoralPartialBleached_mean","PctCoralPartialBleached_sd","PctCoralPartialBleached_N","PctCoralFullyBleached_mean","PctCoralFullyBleached_sd","PctCoralFullyBleached_N","PctAffected_mean","PctAffected_sd","PctAffected_N","DHW_v2_20151101","DHW_v3_20151101","DHW_MUR_20141101","DHW_MUR_20151101","Prop_BleachResTaxa","optional"
"49",49,"Hawaii",41586,"(10,15]",11.72490196824,-155.91035795,19.8938297276265,-155.914572487872,19.896547975,4341.2,15,7.07106781186548,2,57.5,3.53553390593274,2,16.25,1.76776695296637,2,26.25,1.76776695296637,2,42.5,3.53553390593274,2,9.46999978832901,11.8763561248779,1.83786786257566,14.0811862526359,0.558348766851772,TRUE
"50",50,"Hawaii",41587,"(10,15]",12.615270650412,-155.9096743,19.8938297276265,-155.905558489149,19.892616925,2139.4,15,NA,2,57.98570309,0.686887897164522,2,19.728591875,6.68723876055222,2,22.28570503,7.37412666478781,2,42.015,0.68589357775095,2,9.46999978832901,11.8763561248779,1.83786786257566,14.0811862526359,1.18266222876304,TRUE
"51",51,"Hawaii",41587,"(5,10]",8.5344,-155.908676366667,19.8938297276265,-155.905558489149,19.8938719133333,2290.4,15,NA,3,50.34938366,11.5789581233902,3,25.7134464233333,6.36025172120581,3,23.9371699166667,5.66643074634421,3,49.65,11.5779056828081,3,9.46999978832901,11.8763561248779,1.83786786257566,14.0811862526359,0.675070517400613,TRUE
"52",52,"Hawaii",42055,"(10,15]",13.716,-155.9220196,19.8757792996109,-155.923586486596,19.87313644,30,NA,NA,1,51.0060696,NA,1,14.14528078,NA,1,34.84864963,NA,1,48.99,NA,1,9.46999978832901,11.8763561248779,1.65843204176906,14.2185068794222,0.0300570658112768,TRUE
"53",53,"Hawaii",42055,"(5,10]",6.096,-155.922528,19.8757792996109,-155.923586486596,19.87344406,30,NA,NA,1,54.30129037,NA,1,16.50478801,NA,1,29.19392162,NA,1,45.7,NA,1,9.46999978832901,11.8763561248779,1.65843204176906,14.2185068794222,0.0181125104210437,TRUE
"54",54,"Hawaii",42290,"(10,15]",10.9728,-155.92772,19.8667540856031,-155.923586486596,19.86232,10.5,NA,NA,1,50.38,NA,1,30.08,NA,1,19.55,NA,1,49.62,NA,1,9.46999978832901,11.8763561248779,1.79906561715262,14.3880929674421,0.0725981154233438,TRUE
"55",55,"Hawaii",42290,"(5,10]",9.796054231452,-155.92526435,19.8667540856031,-155.923586486596,19.865865955,2431.2,15,NA,2,60.485,6.38517423411453,2,14.21,4.65276262020748,2,25.305,11.037936854322,2,39.515,6.38517423411453,2,9.46999978832901,11.8763561248779,1.79906561715262,14.3880929674421,0.0291591434180351,TRUE
"56",56,"Hawaii",42521,"(10,15]",13.716,-155.9582648,19.8577288715953,-155.959642481489,19.85339941,30,NA,NA,1,44.78797261,NA,1,36.15442349,NA,1,19.0576039,NA,1,55.21,NA,1,9.42999978922307,12.0376462936401,2.09679997762044,14.3980705876054,0.0602513637237484,TRUE
"57",57,"Hawaii",42521,"(5,10]",6.096,-155.9584434,19.8577288715953,-155.959642481489,19.85392772,30,NA,NA,1,59.66462166,NA,1,19.11943183,NA,1,21.21594652,NA,1,40.34,NA,1,9.42999978922307,12.0376462936401,2.09679997762044,14.3980705876054,0.0602513637237484,TRUE
"58",58,"Hawaii",42522,"(10,15]",10.3632,-155.94743,19.8577288715953,-155.950628482766,19.85507,15.3,NA,NA,1,76.22,NA,1,12.94,NA,1,10.84,NA,1,23.78,NA,1,9.46999978832901,11.8763561248779,1.95065009148566,14.4011504246638,0.0501464859463163,TRUE
"59",59,"Hawaii",42524,"(10,15]",11.934065713104,-155.93447505,19.8577288715953,-155.932600485319,19.854546085,2235.3,17.5,NA,2,47.893385035,10.0502712660666,2,25.325031485,3.99519784021801,2,26.78158348,6.05507342584859,2,52.105,10.0479873606608,2,9.46999978832901,11.8763561248779,1.65212784232674,14.3809270397647,0.00290902295848643,TRUE
